Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2012,7.8,547386,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012,7.9,668651,58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012,7.2,432046,69,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,8,52144,79,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,7,410125,54,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2014,7.1,280110,71,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,7.7,329683,78,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7,36312,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7.2,591023,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,7.3,492324,50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2009,7.6,501769,57,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,7,110773,66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,6,122838,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.1,204874,33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,5.8,30405,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,5.3,150121,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.8,26508,47,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.5,58782,72,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,7.2,226631,66,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2016,5.7,76327,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
